;bwnr;bauwerksname;ort;zn;x [m] UTM32;y [m] UTM32;Bez_Sachverhalt;Str_Kl;Str_Nr
0;1019500-0;B 5 / Süderau/;Süderlügum;1,7;494241,0;6084088,0;*O:;B;5
1;1119503-0;B 5 / Bosbüller Sielzug/;Süderlügum;2,2;492728,0;6074870,0;*O:;B;5
2;1119504-0;B 5 / Dreiharder Gotteskoog Strom/;Süderlügum;2,7;492821,0;6075575,0;*O:;B;5
3;1119505-0;B 5 / Kleiner Strom/;Süderlügum;2,8;494364,0;6083232,0;*O:;B;5
4;1119512-0;B 5 / Geh- und Radweg Klixbüll/;Klixbüll;2,0;492424,0;6073095,0;*O:;B;5
5;1122500-1;B 200 / L 16  [AS Flensburg-Duburg]/Rifa DK - Husum;Flensburg;2,5;526323,0;6072442,0;*O:;B;200
6;1122500-2;B 200 / L 16  [AS Flensburg-Duburg]/Rifa Husum - DK;Flensburg;2,7;526323,0;6072442,0;*O:;B;200
7;1122502-1;"B 200 / Gem.Str. ""Bauer Landstraße""/Rifa DK - Husum";Flensburg;2,7;526117,0;6073642,0;*O:;B;200
8;1122502-2;"B 200 / Gem.Str. ""Bauer Landstraße""/Rifa Husum - DK";Flensburg;2,7;526117,0;6073642,0;*O:;B;200
9;1122503-0;"B 200 / Geh- und Radweg ""Klueser Weg""/";Flensburg;2,3;526519,0;6074228,0;*O:;B;200
10;1122505-0;"B 200 / Geh- und Radweg ""Klueser Forst""/";Flensburg;2,0;526612,0;6075562,0;*O:;B;200
11;1122506-1;B 200 / Gem.Str./Rifa DK - Husum;Flensburg;2,8;526593,0;6076019,0;*O:;B;200
12;1122506-2;B 200 / Gem.Str./Rifa Husum - DK;Flensburg;2,1;526593,0;6076019,0;*O:;B;200
13;1123500-0;"B 199 / Geh- und Radweg ""Munkbrarup""/";Munkbrarup;2,3;535778,0;6073216,0;*O:;B;199
14;1123501-0;B 199 / Munkbrarupau/;Munkbrarup;1,8;535856,0;6073242,0;*O:;B;199
15;1123502-0;B 199 / Schulau/;Glücksburg;2,5;540255,0;6072583,0;*O:;B;199
16;1123511-0;"B 199 / Geh- und Radweg ""Oxbüll""/";Glücksburg;2,3;534440,0;6072937,0;*O:;B;199
17;1219505-0;B 5 / Soholmer Au/;Bargum;2,3;497186,0;6063216,0;*O:;B;5
18;1219506-0;B 5 / Lecker Au/;Risum-Lindholm;2,0;493282,0;6067381,0;*O:;B;5
19;1219507-0;"B 5 / Geh- und Radweg ""Lindholm""/";Risum-Lindholm;2,4;490948,0;6069417,0;*O:;B;5
20;1219508-0;B 199 / Lecker Au/;Leck;2,1;498471,0;6069280,0;*O:;B;199
21;1219509-0;B 199 / Lecker Mühlenstrom/;Leck;2,2;497828,0;6069929,0;*O:;B;199
22;1219510-0;B 199 / Pottgraben/;Klixbüll;2,0;494894,0;6071567,0;*O:;B;199
23;1220505-0;"B 199 / Geh- und Radweg ""Hörup""/";Hörup;1,9;506598,0;6066765,0;*O:;B;199
24;1220506-0;"B 199 / Geh- und Radweg ""Stadum""/";Stadum;2,2;503451,0;6066087,0;*O:;B;199
25;1221507-0;B 199 / Wallsbek/(Hamco);Wallsbüll;1,9;515023,0;6069561,0;*O:;B;199
26;1221508-0;"B 199 / Geh- und Radweg ""Wallsbüll""/";Wallsbüll;2,5;515368,0;6069491,0;*O:;B;199
27;1221509-0;B 199 / Meyner Mühlenstrom/(Hamco);Handewitt;1,6;519044,0;6069989,0;*O:;B;199
28;1221510-0;"B 199 / Geh- und Radweg ""Handewitt""/";Handewitt;1,9;521201,0;6070072,0;*O:;B;199
29;1222503-0;"A 7 / Gemeindeweg ""Weding"" (BW 908)/";Flensburg;2,4;524840,0;6065644,0;*O:;A;7
30;1222504-1;A 7 / DB und K 126 [Kr. SL-FL] (BW 909)/Rifa HH - FL (Teilbauwerk Ost);Flensburg;2,5;524613,0;6066100,0;*O:;A;7
31;1222504-2;A 7 / DB und K 126 [Kr. SL-FL] (BW 909)/Rifa FL - HH (Teilbauwerk West);Flensburg;3,0;524613,0;6066100,0;*O:;A;7
32;1222505-1;A 7 / K 85 [Kr. SL-FL]  (BW 910)/Rifa HH-DK;Jarplund-Weding;2,2;524441,0;6066427,0;*O:;A;7
33;1222505-2;A 7 / K 85 [Kr. SL-FL]  (BW 910)/Rifa DK-HH;Jarplund-Weding;2,3;524441,0;6066427,0;*O:;A;7
34;1222506-0;"A 7 / Gem.Str. ""Unterlangberg"" (BW 911)/";Handewitt;2,2;522738,0;6068787,0;*O:;A;7
35;1222507-0;A 7 / DB (BW 912)/DB Langberg;Flensburg;3,0;522428,0;6069272,0;*O:;A;7
36;1222508-1;A 7 / B 199 (BW 913) [AS Flensburg/Harrislee]/Rifa HH-DK;Flensburg;2,0;522274,0;6069559,0;*O:;A;7
37;1222508-2;A 7 / B 199 (BW 913) [AS Flensburg/Harrislee]/Rifa DK-HH;Flensburg;2,7;522292,0;6069512,0;*O:;A;7
38;1222509-0;A 7 / K 116 [Kr. SL-FL] (BW 914)/;Flensburg;2,5;522104,0;6069980,0;*O:;A;7
39;1222511-0;A 7 / Meyner Mühlenstrom (BW 916)/;Flensburg;2,2;521544,0;6071672,0;*O:;A;7
40;1222518-0;"B 200 / Gem.Str. ""Weding""  (BW 2007)/(Hamco)";Jarplund-Weding;2,1;524204,0;6064890,0;*O:;B;200
41;1222519-0;B 200 / DB + K 85 [Kr. SL-FL] + Gem.Str. (BW 2001)/;Flensburg;2,3;524798,0;6065125,0;*O:;B;200
42;1222520-0;"B 200 / Gem.Str. ""Moorweg"" (BW 2002)/";Flensburg;2,5;525585,0;6065499,0;*O:;B;200
43;1222523-1;B 199 / B 200 (AS Flensburg-Süd) [BW 2005]/Rifa FL - Husum;Flensburg;1,9;527701,0;6067877,0;*O:;B;199
44;1222523-2;B 199 / B 200 (AS Flensburg-Süd) [BW 2005]/Rifa DK - FL;Flensburg;1,8;527713,0;6067894,0;*O:;B;199
45;1222527-0;"B 199 / Viehtrift ""Schäferhaus""/";Flensburg;2,0;524271,0;6070129,0;*O:;B;199
46;1222528-1;B 199 / L 17 (Schäferhaus)/Rifa Flensburg-Niebüll;Flensburg;2,3;524545,0;6070143,0;*O:;B;199
47;1222528-2;B 199 / L 17 (Schäferhaus)/Rifa Niebüll-Flensburg;Flensburg;2,4;524570,0;6070121,0;*O:;B;199
48;1222529-1;B 199 / DB (Schäferhaus)/Rifa Flensburg-Niebüll;Flensburg;2,7;524719,0;6070091,0;*O:;B;199
49;1222529-2;B 199 / DB (Schäferhaus)/Rifa Niebüll-Flensburg;Flensburg;2,7;524725,0;6070089,0;*O:;B;199
50;1222536-0;"B 199 / Geh- und Radweg ""Oberlangberg""/";Flensburg;2,2;523265,0;6069785,0;*O:;B;199
51;1222545-0;"B 200 / Geh- und Radweg ""Marienhölzung""/";Flensburg;2,5;526357,0;6072203,0;*O:;B;200
52;1222546-0;B 200 / Scherrebek/;Flensburg;2,5;526991,0;6069297,0;*O:;B;200
53;1222547-1;"B 200 / DB + Gem.Str. ""Nikolaiallee""/Rifa DK - Husum";Flensburg;2,0;526942,0;6069359,0;*O:;B;200
54;1222547-2;"B 200 / DB + Gem.Str. ""Nikolaiallee""/Rifa Husum - DK";Flensburg;2,2;526942,0;6069359,0;*O:;B;200
55;1222548-1;B 200 / B 199  [AS Flensburg-Exe]/Rifa DK - Husum;Flensburg;2,5;526404,0;6070027,0;*O:;B;200
56;1222548-2;B 200 / B 199  [AS Flensburg-Exe]/Rifa Husum - DK;Flensburg;2,7;526408,0;6070018,0;*O:;B;200
57;1222549-1;"B 200 / K 15 [FL] ""Westerallee""/Rifa DK - Husum";Flensburg;2,0;526036,0;6070675,0;*O:;B;200
58;1222549-2;"B 200 / K 15 [FL] ""Westerallee""/Rifa Husum - DK";Flensburg;2,5;526036,0;6070675,0;*O:;B;200
59;1222566-1;"B 199 ""Osttangente"" / Westenwatt/Rifa von Kappeln nach Flensburg-Süd";Flensburg;1,1;528682,0;6068178,0;*O:;B;199
60;1222566-2;"B 199 ""Osttangente"" / Westenwatt/Rifa von Flensburg-Süd nach Kappeln";Flensburg;1,8;528682,0;6068178,0;*O:;B;199
61;1222567-1;"B 199 ""Osttangente"" / Geh-/Radweg ""Eckernf. LStr.""/Rifa von Kappeln nach Flensburg-Süd";Flensburg;2,0;528973,0;6068323,0;*O:;B;199
62;1222567-2;"B 199 ""Osttangente"" / Geh-/Radweg ""Eckernf. LStr.""/Rifa von Flensburg-Süd nach Kappeln";Flensburg;2,2;528973,0;6068323,0;*O:;B;199
63;1222568-1;"B 199 ""Osttangente"" / Peelwatt/Rifa Kappeln - Flensburg-Süd";Flensburg;2,3;529440,0;6068621,0;*O:;B;199
64;1222568-2;"B 199 ""Osttangente"" / Peelwatt/Rifa Flensburg-Süd - Kappeln";Flensburg;2,3;529440,0;6068622,0;*O:;B;199
65;1222574-0;"B 199 ""Osttangente"" / Geh-/Radw. ""Trögelsbyer Weg""/";Flensburg;2,0;529919,0;6071255,0;*O:;B;199
66;1222580-0;"B 199 ""Osttangente"" / Lautrupsbachtal/";Flensburg;2,2;529741,0;6071525,0;*O:;B;199
67;1224503-0;B 199 / Langballigau/;Dollerup;2,5;542883,0;6071102,0;*O:;B;199
68;1224504-0;"B 199 / Geh- und Radweg ""Streichmühle""/";Dollerup;2,0;542972,0;6071091,0;*O:;B;199
69;1224505-0;"B 199 / Graben ""E""/Betonrohr";Dollerup;2,2;543550,0;6070347,0;*O:;B;199
70;1224508-0;B 199 / Lipping Au/;Steinbergkirche;2,5;551974,0;6067752,0;*O:;B;199
71;1225501-0;B 199 / Gelting Au/;Gelting;1,8;557772,0;6066926,0;*O:;B;199
72;1319508-0;B 5 / Geh- und Radweg u. Vorfluter/;Bredstedt;2,0;497530,0;6053526,0;*O:;B;5
73;1322504-1;A 7 / L 15 (BW 901) [AS Tarp]/Rifa HH-FL;Tarp;1,8;527780,0;6057460,0;*O:;A;7
74;1322504-2;A 7 / L 15 (BW 901) [AS Tarp]/Rifa FL-HH;Tarp;2,1;527755,0;6057482,0;*O:;A;7
75;1322505-1;A 7 / Treenetal (BW 902)/Rifa HH - FL;Tarp;1,9;527390,0;6058483,0;*O:;A;7
76;1322505-2;A 7 / Treenetal (BW 902)/Rifa FL - HH;Tarp;1,9;527390,0;6058483,0;*O:;A;7
77;1322507-0;A 7 / Gemeindeweg (BW 904)/;Tarp;2,7;526317,0;6060699,0;*O:;A;7
78;1324500-0;B 201 / Loiter Au/;Loit;2,0;544460,0;6050908,0;*O:;B;201
79;1324501-0;B 201 / Schukier Au/;Süderbrarup;1,7;546886,0;6054107,0;*O:;B;201
80;1325502-0;"B 203 / Gemeindeweg ""Loitmarkfeld""/";Kappeln;2,0;561704,0;6056211,0;*O:;B;203
81;1325504-0;B 199 / Neue Grimsnis Aue/;Kappeln;2,8;560179,0;6058867,0;*O:;B;199
82;1325505-0;"B 199 / Geh- und Radweg ""Rabel""/";Kappeln;2,0;560945,0;6060650,0;*O:;B;199
83;1325509-0;"B 203 / Wi-Weg ""Franke""/";Karby;2,3;562504,0;6052221,0;*O:;B;203
84;1325510-0;"B 203 / Geh- und Radweg ""Karby""/";Karby;2,5;562355,0;6053565,0;*O:;B;203
85;1325515-A;B 203 / Schlei  (Schleibrücke Kappeln)/Spannbetonbrücke Ost;Kappeln;2,5;560408,0;6057303,0;*O:;B;203
86;1325515-B1;B 203 / Schlei  (Schleibrücke Kappeln)/Überbau Süd;Kappeln;2,0;560408,0;6057303,0;*O:;B;203
87;1325515-B2;B 203 / Schlei  (Schleibrücke Kappeln)/Überbau Nord;Kappeln;2,5;560408,0;6057303,0;*O:;B;203
88;1325515-C;B 203 / Schlei  (Schleibrücke Kappeln)/Spannbetonbrücke West;Kappeln;2,0;560408,0;6057303,0;*O:;B;203
89;1420505-0;B 5 / Jelstrom/;Husum;2,4;500675,0;6043992,0;*O:;B;5
90;1420507-0;B 5 / Arlau/;Strukum;2,2;500011,0;6046515,0;*O:;B;5
91;1420508-0;B 200 / Imme Au/;Viöl;2,2;510367,0;6044670,0;*O:;B;200
92;1421500-0;B 201 / Treene/;Treia;2,3;520527,0;6040805,0;*O:;B;201
93;1421502-0;B 200 / Arlau/;Viöl;2,3;510837,0;6046305,0;*O:;B;200
94;1422502-0;B 201 / Silberstedter Au/;Silberstedt;2,1;524557,0;6041157,0;*O:;B;201
95;1422504-0;A 7 / DB (BW 808)/DB Bebo-Brücke;Schleswig;2,5;532328,0;6040376,0;*O:;A;7
96;1422505-0;A 7 / Gemeindeweg (BW 809)/;Schuby;2,8;531941,0;6041271,0;*O:;A;7
97;1422514-0;A 7 / Bollingstedter Au (BW 816)/;Bollingstedt;2,0;529470,0;6050011,0;*O:;A;7
98;1423501-0;"B 76 / Gehweg ""Marienbad""/";Schleswig;2,1;535812,0;6039538,0;*O:;B;76
99;1423502-0;B 76 / K 1 [Kr. SL-FL]/Gottorfbrücke;Schleswig;2,5;535080,0;6040071,0;*O:;B;76
100;1423503-0;Äste der B 76 / Ast der B 76 (AS Schleswig-Mitte)/Stadtabfahrt;Schleswig;2,7;534858,0;6040153,0;*O:;B;76
101;1423504-0;B 76 / Ast der B 76/am Wasserwerk;Schleswig;2,7;534734,0;6040098,0;*O:;B;76
102;1423505-0;B 76 / Pulverteichgraben/(Hamco);Schleswig;2,0;534220,0;6040165,0;*O:;B;76
103;1423506-0;B 76 / Wildwechsel/(Hamco);Schleswig;1,7;534053,0;6040223,0;*O:;B;76
104;1423507-0;B 76 / Hasselholmer Tal  (Hasselholmer Talbrücke)/;Schleswig;3,0;533741,0;6040393,0;*O:;B;76
105;1423509-0;B 76 / Gem.Str.(Alte B 201)/;Schleswig;2,0;533143,0;6042287,0;*O:;B;76
106;1423510-0;B 76 / B 201/;Schleswig;2,0;533098,0;6042591,0;*O:;B;76
107;1423512-0;B 76 / Noorzufluß/Ost;Schleswig;2,2;537662,0;6039446,0;*O:;B;76
108;1423513-0;B 76 / Noorzufluß/West;Schleswig;1,7;537160,0;6039361,0;*O:;B;76
109;1423517-0;B 201 / Viehtrift/;Schleswig;2,3;532861,0;6042514,0;*O:;B;201
110;1423524-0;B 201 / Viehtrift/;Schleswig;2,0;537219,0;6043965,0;*O:;B;201
111;1423525-0;"B 201 / Geh- und Radweg ""Triangel""/";Schleswig;2,1;537553,0;6044184,0;*O:;B;201
112;1423532-0;"B 201 / Geh- und Radweg ""Tolk""/";Tolk;2,0;541957,0;6047702,0;*O:;B;201
113;1423540-0;B 77 / B 76  (Riesbergbrücke)/;Schleswig;1,6;535883,0;6039227,0;*O:;B;77
114;1425501-0;B 203 / Viehtrift/;Barkelsby;2,8;555217,0;6039871,0;*O:;B;203
115;1425504-0;B 203 / Viehtrift/;Vogelsang-Grünholz;2,3;561026,0;6046678,0;*O:;B;203
116;1425505-0;B 203 /  K 61 [Kr. RD-ECK]/;Grünholz;2,1;561818,0;6047795,0;*O:;B;203
117;1447501-0;B 96,UF der DB AG/Brücke;Sassnitz;2,2;799704,0;6050356,0;*O:;B;96
118;1447503-0;B 96, UF DB AG/Brücke;Sagard;2,0;795108,0;6051078,0;*O:;B;96
119;1520500-0;B 5 / DB  und  2 Wirtschaftswege  (BW 2)/;Husum;2,7;504402,0;6035063,0;*O:;B;5
120;1520501-0;B 5 / K 24 [Kr. NF]  (BW 3)/;Husum;2,4;504664,0;6035313,0;*O:;B;5
121;1520502-0;B 5 / Geh- und Radweg  (BW 4)/;Husum;2,0;504954,0;6035676,0;*O:;B;5
122;1520505-0;B 5 / Mühlenau  (BW 7)/;Husum;1,9;505460,0;6036508,0;*O:;B;5
123;1520506-0;B 5 / Viehtrift  (BW 7a)/;Husum;2,0;505539,0;6036645,0;*O:;B;5
124;1520507-0;B 5 / DB und Wirtschaftsweg  (BW 8)/;Husum;2,0;505647,0;6036836,0;*O:;B;5
125;1520508-0;B 5 / K 134 [Kr. NF]  (BW 9)/;Husum;2,0;505773,0;6037082,0;*O:;B;5
126;1520509-0;B 5 / Viehtrift  (BW 9a)/;Husum;2,3;505802,0;6037162,0;*O:;B;5
127;1520510-0;B 5 / B 201  (BW 10)/;Husum;2,5;505950,0;6037531,0;*O:;B;5
128;1520513-0;B 200 / B 5  (BW 11b)/;Husum;2,0;505846,0;6038874,0;*O:;B;200
129;1520516-0;B 5 / Voßkuhlen Sielzug/(Hamco);Husum;1,7;502934,0;6032619,0;*O:;B;5
130;1520517-0;B 5 / Großer Sielzug/;Husum;2,2;503083,0;6033447,0;*O:;B;5
131;1520535-0;B 5 / DB  (BW 5)/;Husum;1,8;504987,0;6035724,0;*O:;B;5
132;1523502-0;A 7 / Gemeindeweg (BW 707)/;Brekendorf;2,3;539257,0;6030474,0;*O:;A;7
133;1523503-1;A 7 / Gemeindeweg (BW 715)/Rifa HH-FL;Brekendorf;2,0;538780,0;6031364,0;*O:;A;7
134;1523503-2;A 7 / Gemeindeweg (BW 715)/Rifa FL-HH;Brekendorf;2,0;538780,0;6031364,0;*O:;A;7
135;1523504-0;A 7 / Gemeindeweg (BW 708)/;Jagel;2,4;537974,0;6033556,0;*O:;A;7
136;1523506-1;A 7 / K 62 [Kr. SL-FL] (BW 710)/Rifa HH-FL;Jagel;2,4;536857,0;6035307,0;*O:;A;7
137;1523506-2;A 7 / K 62 [Kr. SL-FL] (BW 710)/Rifa FL-HH;Jagel;2,0;536857,0;6035307,0;*O:;A;7
138;1523510-0;"A 7 / Wi-Weg ""Wanderweg"" (BW 801)/";Schleswig;2,0;534597,0;6037320,0;*O:;A;7
139;1523515-0;B 77 / B 77 (BW 803)/;Schleswig;2,0;535464,0;6037154,0;*O:;B;77
140;1523516-0;B 77 / DB + Wi-Wege/;Busdorf;2,9;535620,0;6037547,0;*O:;B;77
141;1523517-0;"B 77 / Geh- und Radweg ""Selker Kreuz""/";Busdorf;1,9;535963,0;6038181,0;*O:;B;77
142;1523522-0;"B 77 / Gem.Str. ""Busdorfer Weg""  (BW 803a)/(Hamco)";Busdorf;2,0;535001,0;6037333,0;*O:;B;77
143;1524502-0;B 76 / B 203/;Eckernförde;2,1;552683,0;6037590,0;*O:;B;76
144;1524504-0;"B 76 / Geh- u. Radweg ""Kosel""/";Kosel;2,1;548435,0;6038451,0;*O:;B;76
145;1524505-0;B 76 / Osterbek/;Fleckeby;2,7;546162,0;6037911,0;*O:;B;76
146;1524506-A1;B 76 / Hüttener Au/neuer Teil oben;Fleckeby;1,8;545455,0;6037495,0;*O:;B;76
147;1524506-A2;B 76 / Hüttener Au/alter Teil unten;Fleckeby;1,7;545455,0;6037495,0;*O:;B;76
148;1524508-0;"B 203 / Geh- und Radweg ""Eckernförde""/";Eckernförde;2,5;552921,0;6037859,0;*O:;B;203
149;1524509-0;B 203 / DB/;Eckernförde;2,5;553067,0;6038010,0;*O:;B;203
150;1524514-0;"B 203 / Radweg ""Goosefeld""/";Goosefeld;1,8;552931,0;6032368,0;*O:;B;203
151;1524516-0;B 203 / Mühlenbek/;Groß Wittensee;2,0;551002,0;6029600,0;*O:;B;203
152;1524518-0;B 76 / Noorgraben/;Eckernförde;1,0;553691,0;6036171,0;*O:;B;76
153;1524519-0;B 76 / ehem. Kreisbahn/;Eckernförde;1,0;553340,0;6036781,0;*O:;B;76
154;1524520-0;B 76 / Zufahrt Kleingärten/;Eckernförde;1,2;553036,0;6037232,0;*O:;B;76
155;1525500-0;B 76 / Au zum Goossee/;Eckernförde;2,3;555994,0;6033685,0;*O:;B;76
156;1525501-0;"B 76 / Radweg ""Lornsenplatz""/";Eckenförde;2,0;554270,0;6035523,0;*O:;B;76
157;1525502-0;B 203 / L 27/;Eckernförde;2,5;554249,0;6038744,0;*O:;B;203
158;1525504-0;"B 76 / Gem.Str. ""Neudorf""/";Neudorf;1,0;561110,0;6032062,0;*O:;B;76
159;1525513-0;B 76 / Jordan/;Eckernförde;2,7;556407,0;6033650,0;*O:;B;76
160;1525516-0;B 76 / Geh- und Radweg (Rothenstein)/;Neudorf-Bornstein;1,9;560256,0;6032653,0;*O:;B;76
161;1525519-0;B 76 / Gemeindestraße (BW 1243)/;Gettorf;2,0;563316,0;6030465,0;*O:;B;76
162;1526510-0;B 503 / K 19 [Kr. RD-ECK]/;Dänischenhagen;1,8;573417,0;6032169,0;*O:;B;503
163;1526512-0;B 503 / Mühlenau/;Dänischenhagen;2,5;573824,0;6031585,0;*O:;B;503
164;1526513-0;"B 503 / Wi-Weg ""Dänischenhagen I""/";Dänischenhagen;2,1;573892,0;6031465,0;*O:;B;503
165;1526514-0;"B 503 / Wi-Weg ""Dänischenhagen II""/";Dänischenhagen;2,0;574024,0;6030535,0;*O:;B;503
166;1528500-0;B 502 / Brookau/;Schönberg;2,4;588801,0;6029077,0;*O:;B;502
167;1532502-0;"B 207 / Gem.Str. ""Avendorf""/";Avendorf;3,0;637714,0;6031896,0;*O:;B;207
168;1533500-0;"B 207 / Wi-Weg ""Witt""/";Puttgarden;2,5;643726,0;6040426,0;*O:;B;207
169;1547500-0;B 96, Fischdurchlaß am Jasmunder Bodden/Brücke;Lietzow;2,5;791606,0;6046255,0;*O:;B;96
170;1547505-0;B 96, Schleuse am Jasmunder Bodden/Brücke;Lietzow;2,8;791670,0;6046276,0;*O:;B;96
171;1619503-0;B 5 / Sielzug/(Hamco);Oldenswort;2,0;497000,0;6020068,0;*O:;B;5
172;1619505-0;B 5 / Ast der B 5  (BW 12-1)/;Tönning;2,5;497305,0;6017846,0;*O:;B;5
173;1619506-A;"B 5 / Eider  (""Eiderbrücke Tönning"")/Vorlandbrücke Süd";Tönning;2,9;497178,0;6018521,0;*O:;B;5
174;1619506-B;"B 5 / Eider  (""Eiderbrücke Tönning"")/Klappbrücke";Tönning;3,4;497178,0;6018521,0;*O:;B;5
175;1619506-C;"B 5 / Eider  (""Eiderbrücke Tönning"")/Vorlandbrücke Nord";Tönning;2,9;497178,0;6018521,0;*O:;B;5
176;1619507-0;B 5 / Gemeindestraße/;Tönning;2,5;497094,0;6019189,0;*O:;B;5
177;1619508-0;B 5 / Rad- und Gehweg  (BW 13-2)/;Tönning;2,2;497066,0;6019317,0;*O:;B;5
178;1619509-0;B 202 / B 5  (BW 13-3)/;Tönning;2,7;497040,0;6019645,0;*O:;B;202
179;1619510-0;B 202 / Gemeindeweg (BW 0-1)/;Tönning;2,5;496785,0;6019648,0;*O:;B;202
180;1619511-0;B 202 / Wirtschaftsweg  (BW 1-1)/;Tönning;2,0;496229,0;6019638,0;*O:;B;202
181;1619512-0;B 202 / DB u. Sielzug/;Tönning;2,5;495943,0;6019637,0;*O:;B;202
182;1619513-0;B 202 / Norderbootfahrt (BW 2-2)/;Tönning;2,4;494828,0;6019801,0;*O:;B;202
183;1619514-0;B 202 / Sielzug XIII/(Hamco);Tönning;2,2;493789,0;6020818,0;*O:;B;202
184;1619531-0;B 5 / Alte Eider/;Oldenswort;1,9;498163,0;6023109,0;*O:;B;5
185;1620500-0;B 5 / Witzworter Sielzug/(Hamco);Witzwort;2,1;500509,0;6026932,0;*O:;B;5
186;1620501-0;B 5 / Uelvesbüller Sielzug/;Witzwort;2,1;500244,0;6026322,0;*O:;B;5
187;1620504-0;B 5 / Spitzsieler Sielzug/;Witzwort;2,2;500025,0;6025632,0;*O:;B;5
188;1620505-0;"B 5 / Geh- und Radweg ""Bütteleck""/";Koldenbüttel;2,7;501701,0;6027527,0;*O:;B;5
189;1620506-0;B 202 / Ostersielzug  (III. Treeneschleuse)/;Friedrichstadt;2,3;505856,0;6024998,0;*O:;B;202
190;1620507-0;B 202 / Ostersielzug  (Osterschleuse)/;Friedrichstadt;2,0;505813,0;6025015,0;*O:;B;202
191;1620508-0;B 202 / Treene/;Friedrichstadt;3,0;505392,0;6025240,0;*O:;B;202
192;1620509-0;B 202 / Neuer Sielzug/;Friedrichstadt;2,0;504495,0;6025870,0;*O:;B;202
193;1620522-0;B 202 / B 5 (Bütteleck)/;Koldenbüttel;1,8;501655,0;6027470,0;*O:;B;202
194;1621501-0;B 202 / Große Schlote/;Norderstapel;3,0;518010,0;6021329,0;*O:;B;202
195;1621502-0;B 202 / Neue Schlote/;Norderstapel;2,7;517666,0;6021605,0;*O:;B;202
196;1622500-0;B 202 / Sorge/;Sandschleuse;1,7;525134,0;6019352,0;*O:;B;202
197;1623500-1;A 7 / K 1 [Kr. RD-ECK] (BW 702)/Rifa HH-FL;Duvenstedt;1,8;543126,0;6025036,0;*O:;A;7
198;1623500-2;A 7 / K 1 [Kr. RD-ECK] (BW 702)/Rifa FL-HH;Duvenstedt;2,0;543126,0;6025036,0;*O:;A;7
199;1623501-1;A 7 / Gemeindestr. (BW 703)/Rifa HH-FL;Alt Duvenstedt;2,0;542880,0;6025636,0;*O:;A;7
200;1623501-2;A 7 / Gemeindestr. (BW 703)/Rifa FL-HH;Alt Duvenstedt;2,0;542880,0;6025636,0;*O:;A;7
201;1623502-0;A 7 / Stente (BW 717)/;Alt Duvenstedt;1,6;542787,0;6025880,0;*O:;A;7
202;1623503-0;A 7 / Gemeindeweg (BW 704)/;Steinsieken;2,4;542285,0;6027188,0;*O:;A;7
203;1623507-0;B 77 / Eider/;Rendsburg;2,9;542145,0;6017154,0;*O:;B;77
204;1623508-1;"B 77 / Gem.Str. ""Klinter Weg""/Rifa Schleswig - Jevenstedt";Rendsburg;2,2;541827,0;6017306,0;*O:;B;77
205;1623508-2;"B 77 / Gem.Str. ""Klinter Weg""/Rifa Jevenstedt - Schleswig";Rendsburg;1,9;541827,0;6017306,0;*O:;B;77
206;1623509-0;B 77 / Mühlenbach/;Rendsburg;2,5;541211,0;6017712,0;*O:;B;77
207;1623510-0;"B 77 / B 202 ""Fockbeker Chaussee""/";Rendsburg;1,7;540827,0;6018202,0;*O:;B;77
208;1623514-0;B 77 / Sorge/;Sorgbrück;2,7;536095,0;6023346,0;*O:;B;77
209;1623515-0;"B 77 / Geh- und Radweg ""Sorge""/";Sorgbrück;1,9;536056,0;6023423,0;*O:;B;77
210;1623516-0;B 202 / Garlbek/;Garlbek;2,3;536051,0;6018073,0;*O:;B;202
211;1623525-0;"B 203 ""OD RD"" / Geh- u. Radweg ""Thormannplatz""/";Rendsburg;2,2;542915,0;6017972,0;*O:;B;203
212;1623531-0;B 77 / DB (Hamaico)/;Rendsburg;1,9;540719,0;6018392,0;*O:;B;77
213;1623532-0;B 203 / Geh- und Radweg/;Rendsburg;1,0;543216,0;6018340,0;*O:;B;203
214;1624500-1;A 7 / K 75 [Kr. RD-ECK] (BW 527)/Rifa HH - FL, Überbau Ost;Schülldorf;1,7;549314,0;6017311,0;*O:;A;7
215;1624500-2;A 7 / K 75 [Kr. RD-ECK] (BW 527)/Rifa FL - HH, Überbau West;Schülldorf;1,0;549263,0;6017320,0;*O:;A;7
216;1624501-1;A 7 / A 210  (BW 528)  [AK Rendsburg]/Rifa  HH - FL;Schülldorf;2,9;549118,0;6017741,0;*O:;A;7
217;1624501-2;A 7 / A 210  (BW 528)  [AK Rendsburg]/Rifa  FL - HH;Schülldorf;2,8;549084,0;6017745,0;*O:;A;7
218;1624503-0;A 7 / Gemeindestraße (BW 602)/;Schacht-Audorf;2,2;548003,0;6019641,0;*O:;A;7
219;1624504-0;"A 7 / NOK (Hochbrücke ""Rader Insel"")  (BW 603)/";Rendsburg;3,0;547078,0;6020816,0;*O:;A;7
220;1624505-1;A 7 / L 42 (BW 604)/Rifa  Hamburg - Flensburg;Borgstedt;2,2;546415,0;6021503,0;*O:;A;7
221;1624505-2;A 7 / L 42 (BW 604)/Rifa  Flensburg - Hamburg;Borgstedt;2,0;546415,0;6021503,0;*O:;A;7
222;1624506-0;A 7 / Gemeindestraße (BW 606)/;Borgstedt;2,3;545885,0;6021988,0;*O:;A;7
